term,mnemonic
state,stat 像 stand 的骨架：站住的一刻就是状态 state。
statement,state + ment：把状态说出来就是 statement 陈述。
status,stat 站在哪个位置，status 就是身份和状态。
statistics,stat 状态 + 数字汇总，statistics 就是统计。
include,in + clude 关进去，把内容关进来就是 include。
conclude,con + clude 合上，讨论合上就是 conclude 得出结论。
exclude,ex + clude 关在外面，exclude 就是排除。
community,commun 表共同，community 是共同生活的人群。
communicate,commun 共同 + ate，让信息共同流动就是 communicate。
social,soci 表伙伴，social 是和伙伴相处的社会性。
society,soci 伙伴集合起来就是 society 社会。
associate,as + soci + ate，和伙伴连在一起就是 associate。
association,associate 的组织名词，association 是连结成的协会。
result,re + sult 像事情跳出来，结果就是 result。
insult,in + sult，把坏话甩进去就是 insult 侮辱。
consider,con + sider 像一起看星星，反复看就是 consider。
consideration,consider 后形成的名词，consideration 是认真考虑。
probably,prob 表验证，probably 是经过判断后的大概可能。
probability,prob 可验证的可能性，probability 就是概率。
probable,probable 是有证据支持的可能。
sense,sense 像 sensor，感官收到的就是 sense。
sensitive,sense + tive，容易感到变化就是 sensitive。
nonsense,non + sense，没有 sense 就是 nonsense 胡话。
sensible,sense + ible，能讲得通就是 sensible 明智。
permanent,per + manent 像一直留在原位，permanent 是永久的。
effect,ef + fect 做出来的结果就是 effect 效果。
former,form 表形状，former 是之前成形的那个。
reform,re + form，重新塑形就是 reform 改革。
inform,in + form，把信息放进脑中成形就是 inform 通知。
transform,trans + form，跨过去换形就是 transform 转变。
formal,form + al，有固定形状和规矩就是 formal 正式。
uniform,uni + form，一个形状就是 uniform 制服或统一的。
formation,form + ation，形成出来的结构就是 formation。
formula,form + ula，固定成形的表达就是 formula 公式。
require,re + quire 像反复询问，require 是要求。
acquire,ac + quire，通过追问和努力取得就是 acquire。
comfortable,comfort + able，能带来安稳感就是 comfortable。
comfort,com + fort 像一起加固内心，comfort 是安慰。
rate,rate 像给速度和等级打分，rate 是比率或评价。
ratio,ratio 是 rate 的数字关系版：两个量相互比较。
rational,ratio + nal，按比例和理性推就是 rational。
value,value 是你愿意标价保留的东西：价值。
evaluate,e + value，把价值估出来就是 evaluate 评估。
valid,valid 像 value 被认可，valid 是有效的。
international,inter + national，国家之间的就是 international。
nationality,national + ity，一个人的国家属性就是 nationality。
action,act + ion，做出来的动作就是 action。
interaction,inter + action，彼此之间的动作就是 interaction。
exact,ex + act，做得完全对准就是 exact 精确。
model,model 是可照着做的模型。
mode,mode 是做事的方式和模式。
modify,mod + ify，调整模式就是 modify 修改。
position,posit 放置，position 是被放到的位置。
positive,posit 放上去的方向感，positive 是正向或确定。
impose,im + pose，把东西放到别人身上就是 impose 强加。
composition,com + position，把部分放到一起就是 composition 作文或构成。
deposit,de + posit，向下放进去就是 deposit 存放或押金。
special,spec 看见特别之处，special 就是特殊。
specific,spec + ific，看准某一项就是 specific 具体的。
species,spec 看外形分组，species 是物种。
specialist,special + ist，专看某一类问题的人就是 specialist。
specialize,special + ize，把注意力集中到专门领域就是 specialize。
specify,spec + ify，看清并说清就是 specify 指明。
support,sup + port，从下面托住搬运就是 support 支持。
export,ex + port，运出去就是 export 出口。
import,im + port，运进来就是 import 进口。
transport,trans + port，跨地点搬运就是 transport 运输。
portable,port + able，能搬走的就是 portable 便携的。
describe,de + scrib，把看到的写下来就是 describe 描述。
prescribe,pre + scrib，提前写好要求就是 prescribe 开处方或规定。
ascribe,as + scrib，把原因写到某人名下就是 ascribe 归因。
patient,pat 表承受，patient 是能忍受的人或病人。
passive,pass 表承受，passive 是被动承受。
certain,certain 是心里已经定住：确定的。
uncertain,un + certain，没有定住就是 uncertain 不确定。
certificate,cert 确定 + fic 做，certificate 是证明书。
certainty,cert 定住后的状态就是 certainty 确定性。
technology,tech 技术 + logy 学问，technology 是技术体系。
technique,technique 是具体可操作的技术方法。
technical,tech + ical，和技术细节有关就是 technical。
technician,tech + nician，处理技术细节的人就是 technician。
type,type 是把东西按样式归类。
typical,type + ical，符合这一类样式就是 typical 典型。
source,source 是水或信息流出来的源头。
surgery,surg 像切开处理，surgery 是外科手术。
surgeon,surg + eon，做外科手术的人就是 surgeon。
culture,cult 培养，culture 是长期培养出的文化。
cultivate,cult + ate，持续培养就是 cultivate。
period,period 是一段被圈定的时间。
method,method 是按路子做事的方法。
available,a + vail + able，能拿来使用就是 available。
prevail,pre + vail，力量占上风就是 prevail 盛行。
progress,pro + gress，向前走就是 progress 进步。
degree,de + gree，台阶级别就是 degree 程度或学位。
